,ppc-pval,mtt-pval,mtt-stat,mtt-gdf,gft-pval,gft-stat,gft-dgf
"[0489]-['0008', '0327', '0339', '0859']",0.39808333333333334,0.9850227755498221,0.030181031383520462,2,0.19765849436948224,11.071898960369051,8
"[0492]-['0055', '0058', '0158', '0865']",0.4075,1.0,-0.00612637867027388,2,0.3748135226815739,8.626085016685904,8
"[0492]-['0072', '0327', '0346', '0859']",0.3284166666666667,0.9658404673247349,0.06951321220992668,2,0.29789875443666863,9.551844827022414,8
"[0502]-['0031', '0158', '0482', '0506']",0.06358333333333334,0.6881543052908157,0.7474843705001035,2,0.03773453298466242,16.342313931074695,8
"[0506]-['0033', '0057', '0131', '0600']",0.09358333333333334,0.9109158710511226,0.18660946779931464,2,0.063504538778003,14.783012278920406,8
"[0515]-['0150', '0632', '0861', '0863']",0.23158333333333334,0.9889459099762652,0.022231280973500134,2,0.19052126591134913,11.20186938253773,8
"[0523]-['0023', '0240', '0506', '0889']",0.01,0.7637430543895474,0.5390477252533117,2,0.00026558998609916374,29.437962701638167,8
"[0527]-['0240', '0505', '0550', '0865']",0.5618333333333333,0.9998642893849772,0.0002714396490830495,2,0.6428937932457277,6.0387265720926715,8
"[0544]-['0150', '0336', '0343', '0830']",0.58825,0.9740967530110551,0.05248928906553374,2,0.6469429415558765,6.002579404764439,8
"[0546]-['0023', '0029', '0072', '0527']",0.30583333333333335,0.8620058649353076,0.29698640894464745,2,0.2508329645791754,10.206463239466578,8
"[0546]-['0492', '0527', '0889', '0903']",0.7608333333333334,0.9980029462714852,0.003998100998387599,2,0.8316508700759913,4.273415421156721,8
"[0550]-['0022', '0044', '0094', '0125']",0.66875,0.9997479838188472,0.0005040958851338928,2,0.7291618641608146,5.262726674365327,8
"[0550]-['0029', '0523', '0560', '0733']",0.017416666666666667,0.7708048600569594,0.5206400745007755,2,0.0005089145243147813,27.823914324049152,8
"[0550]-['0030', '0064', '0142', '0603']",0.489,0.9357852558263645,0.13273851272600723,2,0.47734239743487084,7.562363753292529,8
"[0560]-['0036', '0055', '0544', '0878']",0.6115,0.9820350460657166,0.036256565613058456,2,0.6523191212981616,5.954585451257483,8
"[0560]-['0164', '0180', '0489', '0861']",0.4985833333333333,0.9968618607687945,0.006286147031616451,2,0.5294080271493418,7.067125051627766,8
"[0589]-['0036', '0038', '0044', '0878']",0.7540833333333333,0.9993978902531949,0.0012045821753474684,2,0.8342951607848125,4.245781902318441,8
"[0589]-['0131', '0304', '0346', '0373']",0.33475,0.991222978042172,0.017631533783486475,2,0.3026140887245802,9.490579904995867,8
"[0599]-['0031', '0149', '0351', '0664']",0.2855,0.8744015570351097,0.26843112286330495,2,0.20674252431296775,10.911877331176315,8
"[0604]-['0135', '0336', '0502', '0542']",0.71875,0.9620234824634474,0.07743283713837457,2,0.7960682462711879,4.632176407221818,8
"[0617]-['0030', '0146', '0329', '0744']",0.4950833333333333,0.9944107554133716,0.011209845722504497,2,0.49928004283862815,7.350986657513795,8
"[0664]-['0008', '0515', '0562', '0730']",0.37116666666666664,0.8228092530522122,0.39006175091375894,2,0.3374766294580082,9.057403695148443,8
"[0730]-['0031', '0094', '0389', '0515']",0.4519166666666667,0.9730859402284487,0.05456575138602204,2,0.43406228608147046,7.993940202809799,8
"[0733]-['0044', '0180', '0305', '0523']",0.63875,1.0,-0.0022243647662243404,2,0.7672598627196859,4.908969327096466,8
"[0733]-['0327', '0485', '0546', '0599']",0.7884166666666667,1.0,-0.004908753454301973,2,0.9999913892331501,0.2457502976121394,8
"[0744]-['0036', '0148', '0443', '0525']",0.19041666666666668,0.9553593776854876,0.09133539515269717,2,0.14610475554704633,12.115955110189915,8
"[0744]-['0158', '0515', '0863', '0878']",0.7399166666666667,0.9896626664494793,0.02078226975802977,2,0.8326268704708115,4.263234102371763,8
"[0744]-['0373', '0525', '0857', '0861']",0.28975,0.966155814618239,0.06886031800044634,2,0.24538089218509185,10.288154667174368,8
"[0830]-['0080', '0164', '0352', '0617']",0.17025,0.9571936180016427,0.08749918066314422,2,0.12334304896981164,12.680036045173729,8
"[0857]-['0011', '0016', '0315', '0664']",0.03141666666666667,0.8953965192506316,0.2209772411017923,2,0.005137524910213041,21.882874864057758,8
"[0878]-['0055', '0080', '0328', '0331']",0.704,0.9840639978101245,0.03212869123973405,2,0.7644107965954183,4.935843171543586,8
"[0889]-['0058', '0315', '0544', '0617']",0.07458333333333333,0.9688710239452545,0.06324755634787493,2,0.04693127400326507,15.696797541608603,8
"[0889]-['0164', '0344', '0346', '0857']",0.6420833333333333,0.9504780386555391,0.10158044472944994,2,0.6960832167592046,5.5627061481822295,8
"[0903]-['0299', '0527', '0604', '0859']",0.7723333333333333,1.0,-0.2935378976076404,2,0.9999990021916376,0.14190580583526255,8
