,std_c,min_ppc,min_mtt,min_gft,agg_ppc,agg_mtt,agg_gft
0,0.0,0.05815,0.2780704215960438,0.0008440935985255655,0.31735,1.0,0.13560374287961224
1,0.0,0.06835,0.47064656167610786,0.02516852606276343,0.84705,1.0,0.986262215203336
2,0.0,0.04855,1.0,0.01459009702063605,0.47385,1.0,0.8177741395390009
3,0.0,0.0015,0.18344930837302406,0.00048394939363701693,0.2435,1.0,0.12655698023144157
4,0.0,0.09575,0.1949051124765229,0.0018484247622352736,0.63015,1.0,0.7986686237491222
5,0.0,0.02935,0.5988585707863927,0.0072054946821968145,0.5365,1.0,0.727245535770675
6,0.0,0.0217,0.1823356992422145,0.007807468825213156,0.2934,1.0,0.22916914535585495
7,0.0,0.0581,0.35872132410289287,0.013768912781201032,0.51485,1.0,0.8393047641702277
8,0.0,0.03135,0.17373443808772288,0.011403512050327275,0.21725,1.0,0.18060224078537687
9,0.0,0.0496,1.0,0.0035218248374455437,0.3467,1.0,0.4949271047393484
10,0.1,0.03175,0.2398068757549633,0.004191646832343985,0.2812,1.0,0.17949935873681375
11,0.1,0.02575,0.37188522333036483,0.004951145664989293,0.1954,1.0,0.06682469554361603
12,0.1,0.0543,0.18995018690016524,0.004458076276874275,0.5088,1.0,0.8044298636564543
13,0.1,0.0355,0.5111946841145258,0.0010717800914974598,0.54995,1.0,0.8503691116577151
14,0.1,0.02025,0.04553803002926764,0.010940515603971905,0.5071,1.0,0.7872934305203954
15,0.1,0.00075,0.1500713721202318,0.00031513671852626863,0.45775,1.0,0.7955916659282498
16,0.1,0.09115,0.307740269355882,1.713158390959516e-06,0.6652,1.0,0.9458794170216558
17,0.1,0.0026,0.38638719310078795,0.0004955669933489345,0.2201,1.0,0.14258960627016867
18,0.1,0.05305,0.4082361014787187,0.029039636055302305,0.59555,1.0,0.8220095252210903
19,0.1,0.0659,0.5828440684054031,0.033774730889483434,0.68105,1.0,0.8052341367810766
20,0.2,0.0046,0.4515325380817917,0.0014544979133138364,0.0867,1.0,0.0012835298147062892
21,0.2,0.01725,0.7328668079571453,0.002348235107012358,0.1027,1.0,0.02620073010273141
22,0.2,0.0036,0.3639043167952948,0.00033539835745609287,0.04755,1.0,0.0010073937794354295
23,0.2,0.0118,0.2978100489019694,8.199511190761454e-06,0.02235,1.0,1.3005087013738045e-06
24,0.2,0.00995,0.257027408684787,0.0007156829733977294,0.05215,1.0,8.656856648158705e-05
25,0.2,0.0022,0.08019619283963335,1.2850690886458256e-05,0.0712,1.0,0.005253932353769278
26,0.2,0.00995,0.12049558164766513,0.0019375116162483807,0.09895,1.0,0.0008746513870324115
27,0.2,0.0192,0.303865065441979,6.207798870628375e-05,0.0404,1.0,0.002266164792200523
28,0.2,0.011,0.5709137577343717,0.002670549215377605,0.25045,1.0,0.12986542914551355
29,0.2,0.02825,0.09111409269387456,0.0046718806142322855,0.03965,1.0,0.000451624577608222
30,0.30000000000000004,0.00455,0.4263498827896236,7.985576455078953e-05,0.00205,1.0,1.3987182903019436e-14
31,0.30000000000000004,0.00015,0.29791327723719885,5.61371215560959e-09,0.00135,1.0,4.757977582670239e-16
32,0.30000000000000004,0.0001,0.2823657672968679,1.732320378093387e-08,0.0046,1.0,4.308264638576509e-10
33,0.30000000000000004,0.0,0.13337281474322255,9.113744558785808e-09,0.00125,1.0,1.7900909272587052e-20
34,0.30000000000000004,0.0,0.14632078031154352,5.358049321895523e-08,0.00135,1.0,2.595834451786811e-10
35,0.30000000000000004,0.0,0.29089828517219596,2.62948300952819e-10,0.0013,1.0,8.878248801375725e-13
36,0.30000000000000004,0.00025,0.11144857026159496,4.1970256894662215e-06,0.00275,1.0,3.774555662013991e-15
37,0.30000000000000004,0.00155,0.2893333225218977,0.0001718201084669094,0.00535,1.0,6.763742509959638e-10
38,0.30000000000000004,0.0,0.08338518014492925,2.803201519450443e-11,0.0002,1.0,2.817594500601551e-19
39,0.30000000000000004,0.0,0.014251808976394064,1.2463342505129874e-11,0.0006,1.0,2.344450462377331e-17
40,0.4,0.0,0.027394424085874853,8.6524595110856e-12,5e-05,1.0,1.3530888208953874e-39
41,0.4,0.0,0.17455818390824623,8.976717417934939e-12,0.0001,1.0,3.053839301970974e-45
42,0.4,0.0,1.720863177413273e-06,2.6738805556241794e-29,0.0,1.0,3.670682335093666e-66
43,0.4,0.0,0.3179104243829462,5.057227990022665e-09,0.0001,1.0,4.577569909735388e-37
44,0.4,0.0,0.08405414663607745,6.190127442055874e-12,0.00045,1.0,2.3656794151474514e-43
45,0.4,0.0,0.005349775849912462,1.2757523864966615e-19,0.00015,1.0,5.578574935197614e-54
46,0.4,0.0,0.006994026315610146,8.168132685215812e-13,0.0002,1.0,4.327627257031666e-45
47,0.4,0.0,8.945482509534036e-05,2.8395309911811364e-11,0.0,1.0,1.6554827319966502e-44
48,0.4,0.0,0.00994985415695764,4.0079230684512763e-10,0.0,1.0,1.3472673025354637e-54
49,0.4,0.0,0.0432029851909416,3.17631842390291e-11,0.0002,1.0,1.2129451287474987e-54
50,0.5,0.0,0.0001885138709246388,4.331870210063221e-25,5e-05,1.0,5.6420241853847904e-95
51,0.5,0.0,0.001719038223307386,5.527837102416872e-20,5e-05,1.0,6.471132447117735e-87
52,0.5,0.0,0.007034582657257155,5.732409293623955e-18,5e-05,1.0,5.214781866285148e-82
53,0.5,0.0,1.7352738586850556e-05,2.805032729674175e-22,5e-05,1.0,2.3509804708266838e-98
54,0.5,0.0,0.0057467032435674905,1.2693713808798375e-23,5e-05,0.9999999999999986,8.165527659477571e-108
55,0.5,0.0,0.0011974555003878141,6.558115687501115e-31,0.0,1.0,6.0620843042702e-90
56,0.5,0.0,0.012833949957858469,1.5848566191604122e-13,0.0,1.0,1.178883094687253e-84
57,0.5,0.0,0.08291301491218923,3.017324457188166e-17,0.0,1.0,2.076689775163457e-68
58,0.5,0.0,0.0011688553007458897,4.3842162084559135e-23,0.00025,1.0,1.4415274423049306e-61
59,0.5,0.0,0.027636389240554192,5.623893650505358e-14,0.0,1.0,6.482038433458464e-75
60,0.6000000000000001,0.0,2.3744290915893187e-05,1.6861030380679679e-38,0.0,0.9999999999996961,1.1257323819857923e-226
61,0.6000000000000001,0.0,0.005244104735064721,3.26098633565467e-20,0.0,1.0,2.6360948286446666e-142
62,0.6000000000000001,0.0,6.131422119788319e-05,4.08016687214663e-30,0.0,1.0,5.542641446351635e-205
63,0.6000000000000001,0.0,2.0215323820561107e-05,5.9244878927274816e-21,0.0,1.0,6.788937322369045e-164
64,0.6000000000000001,0.0,0.0032141953317516205,1.780654381254192e-33,0.0,0.9999999999998356,1.7549710105339125e-203
65,0.6000000000000001,0.0,2.2560490065953703e-06,3.7076535815592695e-23,5e-05,1.0,1.3891122062418508e-164
66,0.6000000000000001,0.0,0.008552455988117855,2.412943297179866e-26,5e-05,0.9999999999885552,2.9438975401113926e-176
67,0.6000000000000001,0.0,0.00036472582614072337,6.28819450525304e-26,5e-05,1.0,8.060335971533959e-163
68,0.6000000000000001,0.0,0.005879625489219689,3.535110314630614e-19,5e-05,0.999999999975992,3.5289668498101626e-154
69,0.6000000000000001,0.0,0.00022098383716675287,1.2988172369718527e-23,0.0,1.0,2.808467254961588e-175
70,0.7000000000000001,0.0,1.305952055629937e-06,5.1651354839725096e-26,0.0,1.0,4.275052160620017e-221
71,0.7000000000000001,0.0,0.00018567926088316043,2.7002307246052256e-20,0.0,1.0,7.257302907675225e-226
72,0.7000000000000001,0.0,2.3025935333914135e-05,1.6696540465999313e-29,0.0,1.0,9.907564394265004e-287
73,0.7000000000000001,0.0,0.000605498584036796,1.2466804338634416e-24,5e-05,1.0,6.155425807052487e-213
74,0.7000000000000001,0.0,0.00868650482931541,7.692532259181831e-28,0.0,1.0,1.404281980644392e-256
75,0.7000000000000001,0.0,0.007819373334001619,1.8953133774710956e-36,0.0,0.9999999999999999,0.0
76,0.7000000000000001,0.0,1.284237996908579e-06,5.683924650079721e-19,0.0,0.9999999999996876,5.657954497686852e-202
77,0.7000000000000001,0.0,2.4048116219675415e-05,6.537034578916044e-32,0.0,0.9999979508441531,1.7469865059200317e-284
78,0.7000000000000001,0.0,9.279658557287399e-09,4.323610203227996e-35,0.0,0.9999999999999909,1.2436959107536743e-239
79,0.7000000000000001,0.0,9.209724084399427e-07,8.279766667442408e-30,0.0,1.0,8.939000566950242e-279
80,0.8,0.0,0.013304343814304419,1.5559530705718755e-31,0.0,0.9999999999997236,0.0
81,0.8,0.0,7.0513514351033665e-09,1.1722387668277609e-37,0.0,0.9999999985777064,0.0
82,0.8,0.0,0.002096041410590507,2.723969249970912e-33,0.0,0.999999947440227,0.0
