,std_c,min_ppc,min_mtt,min_gft,agg_ppc,agg_mtt,agg_gft
0,0.0,0.05358333333333333,0.18908677093581586,0.007660841779859081,0.2699166666666667,1.0,0.29004785816677475
1,0.0,0.03225,0.16194613346142672,0.0052460376761502845,0.28791666666666665,1.0,0.1891376021803538
2,0.0,0.03916666666666667,0.38007972716183924,0.020549682414167943,0.5540833333333334,1.0,0.7220485875716202
3,0.0,0.015,0.8042093821762921,0.0036388675614026614,0.8229166666666666,1.0,0.985436019268945
4,0.0,0.03283333333333333,0.1388313040839353,0.008234036320781622,0.14916666666666667,1.0,0.021855783868633013
5,0.0,0.055,0.30135679454167613,0.007477211979774125,0.6796666666666666,1.0,0.9382810040692899
6,0.0,0.03766666666666667,0.6549385362741265,0.006795747937449815,0.601,1.0,0.6448557598142854
7,0.0,0.01375,0.45506686756195935,0.0002464021684135292,0.6615,1.0,0.9236358178837613
8,0.0,0.07,0.6923509745178271,0.03774878978011577,0.80275,1.0,0.9405526408740146
9,0.0,0.09516666666666666,0.48235821323886235,0.04049822556659776,0.9371666666666667,1.0,0.9998891933659763
10,0.1,0.035083333333333334,0.4926490236323699,0.017769549820059752,0.5964166666666667,1.0,0.8388808996434963
11,0.1,0.021416666666666667,0.24192915380084687,0.0007229420855260272,0.18491666666666667,1.0,0.0288008471061982
12,0.1,0.04566666666666667,0.11764229331465798,0.016399040604985683,0.18666666666666668,1.0,0.03425139021160706
13,0.1,0.07666666666666666,0.25266796209153497,0.013370215473982903,0.39991666666666664,1.0,0.42606443171226693
14,0.1,0.012333333333333333,0.19703346349070747,0.002186163282639287,0.27558333333333335,1.0,0.2040751514920077
15,0.1,0.021916666666666668,0.4972650742029456,0.009423842814791226,0.33108333333333334,1.0,0.21176162802095566
16,0.1,0.020583333333333332,0.24278901368216627,0.005394928734388288,0.4121666666666667,1.0,0.45761207919628105
17,0.1,0.03266666666666666,0.545989314163477,0.00010913029461917076,0.15566666666666668,1.0,0.03427373493946748
18,0.1,0.04958333333333333,0.4803870542112484,0.016034897880532292,0.5474166666666667,1.0,0.5416945449087718
19,0.1,0.021,0.27674113901767855,6.820177113117033e-06,0.25525,1.0,0.127487291536266
20,0.2,0.011666666666666667,0.5355307803722795,2.0462546999179286e-06,0.09733333333333333,1.0,0.0007634334144215652
21,0.2,0.084,0.4383518359323011,0.011212516022886556,0.2653333333333333,1.0,0.20767787479463304
22,0.2,0.03866666666666667,0.13277693694939818,0.00011430842382398916,0.17775,1.0,0.03486815801777781
23,0.2,0.004166666666666667,0.20528503973624496,0.0003877879036831975,0.0785,1.0,0.001012594820857935
24,0.2,0.009416666666666667,0.7268567150850308,0.00039202729845913125,0.11441666666666667,1.0,0.006780373056781712
25,0.2,0.05275,0.3123497410077519,0.014202105339754006,0.14408333333333334,1.0,0.010664857484992926
26,0.2,0.021333333333333333,0.26078902618890876,0.010047607824117708,0.08125,1.0,0.0014228711757827053
27,0.2,0.025833333333333333,0.61117711314491,2.1353507923570316e-05,0.1425,1.0,0.014179563936078401
28,0.2,0.007583333333333333,1.0,0.002888597052890668,0.03141666666666667,1.0,4.6133867032838436e-05
29,0.2,0.07991666666666666,0.4228852957368353,0.0033992355013292307,0.39608333333333334,1.0,0.357640491240015
30,0.30000000000000004,0.00475,0.6229272649527451,0.0026354814095987575,0.05925,1.0,0.0008142316654332452
31,0.30000000000000004,0.011333333333333334,0.02776115523017756,8.706732783960361e-08,0.0265,1.0,1.2810003936191217e-06
32,0.30000000000000004,0.0036666666666666666,0.24102805461555293,2.015530106887236e-05,0.005083333333333333,1.0,4.2290898148248596e-14
33,0.30000000000000004,0.00225,0.07739034768849717,4.597533990001406e-06,0.014166666666666666,1.0,8.26083944031284e-09
34,0.30000000000000004,0.0005,0.24226550237559769,3.6555864538831217e-06,0.010166666666666666,1.0,6.434918664849066e-11
35,0.30000000000000004,0.0014166666666666668,0.5272265176512689,0.000435602232147249,0.025916666666666668,1.0,9.973705509506287e-08
36,0.30000000000000004,0.021416666666666667,0.33982937047804657,0.002454925549104768,0.09141666666666666,1.0,0.006198080499568845
37,0.30000000000000004,0.0,0.7445590447075928,1.303624097116987e-06,0.0036666666666666666,1.0,4.4045307542621594e-11
38,0.30000000000000004,0.0165,0.6549634313133308,0.002036872858240798,0.035166666666666666,1.0,3.411972318925412e-05
39,0.30000000000000004,0.009916666666666667,0.411290313061724,0.0013516992570336544,0.04441666666666667,1.0,1.1075460080113073e-06
40,0.4,0.0005,0.28285750605839344,7.229415734150754e-06,0.00125,1.0,5.170741913434416e-19
41,0.4,0.008666666666666666,0.3019971926999364,1.808270332398199e-16,0.00175,1.0,4.225021626720717e-21
42,0.4,0.0004166666666666667,0.5426339516429121,4.121392998543613e-05,0.003,1.0,1.6213596567219156e-15
43,0.4,0.00325,0.22946581932440763,0.0007592350435252405,0.003416666666666667,1.0,2.7610352182333947e-14
44,0.4,0.007333333333333333,0.16295289904514929,5.531136713264941e-05,0.004833333333333334,1.0,1.016890142820608e-17
45,0.4,8.333333333333333e-05,0.25689151679603706,3.3334866043496176e-06,0.0014166666666666668,1.0,4.1936449959129166e-16
46,0.4,0.009083333333333334,0.13019139334902494,0.0007646484583850395,0.006,1.0,5.589701920314841e-13
47,0.4,0.0,0.08545575508097376,1.7624531663495078e-06,0.002,1.0,5.434377740936409e-18
48,0.4,0.017583333333333333,0.006414082831863187,1.063419641869112e-05,0.00225,1.0,3.8433032973629504e-18
49,0.4,0.0,0.060298998213897434,1.944914692888388e-06,0.01125,1.0,5.651249293893329e-18
50,0.5,0.00025,0.059663282714625954,4.356565640549713e-08,0.0013333333333333333,1.0,1.1852845695148977e-37
51,0.5,0.00025,0.036780280403546244,1.1399782385021503e-06,0.0036666666666666666,1.0,3.0124075301932852e-24
52,0.5,0.0,0.07789421364627196,7.033307591290877e-13,0.0005833333333333334,1.0,4.1151011634040137e-47
53,0.5,8.333333333333333e-05,0.23703967165764459,1.0100258267902702e-05,0.0014166666666666668,1.0,7.992946411490393e-37
54,0.5,8.333333333333333e-05,0.14110811915156357,6.499316770094401e-07,0.0008333333333333334,1.0,1.8630813617223738e-41
55,0.5,8.333333333333333e-05,0.05216376421235348,1.529661766366445e-07,0.0010833333333333333,1.0,1.0262807607708348e-50
56,0.5,0.00016666666666666666,0.47700075913127915,1.3875862973087836e-05,0.00425,1.0,1.4290505131215745e-24
57,0.5,0.0,0.07223349816598418,1.255239100403131e-09,0.0005,1.0,1.2328402822571877e-36
58,0.5,0.0,0.06780756085942953,3.151383598235262e-11,0.00025,1.0,2.9671849012125646e-56
59,0.5,0.0,0.06968611239387108,1.6849640467410975e-06,0.0004166666666666667,1.0,2.277451865546466e-48
60,0.6000000000000001,0.0,0.020702527588162732,3.074104156696772e-07,0.0003333333333333333,1.0,3.125120924325277e-81
61,0.6000000000000001,0.0,0.06158780981494342,8.790666320494298e-09,0.0004166666666666667,0.9999999999999261,1.9855986295324353e-77
62,0.6000000000000001,8.333333333333333e-05,0.1457426768426618,1.3266942148971793e-06,0.0006666666666666666,1.0,2.997809259909833e-60
63,0.6000000000000001,0.0,0.025121997089454583,8.433496073903344e-10,0.0004166666666666667,0.9999999999999998,3.7297168251234974e-88
64,0.6000000000000001,0.0,0.006862563555838383,4.50976181553429e-12,0.0,1.0,4.4354783740990694e-74
65,0.6000000000000001,0.0006666666666666666,0.06877834812517505,4.407880636958709e-05,0.00175,1.0,7.277446204157509e-36
66,0.6000000000000001,0.0,0.02499261399857301,1.3715753222100746e-11,0.00016666666666666666,1.0,3.528036062570504e-88
67,0.6000000000000001,0.00016666666666666666,0.0003635591554715129,1.8546758448085365e-07,0.0003333333333333333,0.9999999999999987,1.9245642787448123e-70
68,0.6000000000000001,0.0,0.15017098402114332,2.52168378096071e-12,0.00016666666666666666,1.0,1.3046966067768776e-59
69,0.6000000000000001,0.0,0.03186051478779348,4.720156622194825e-13,0.0004166666666666667,1.0,3.583353281309624e-70
70,0.7000000000000001,0.0,0.04940385338784603,7.481115486812293e-11,0.0,1.0,9.025276715616459e-106
71,0.7000000000000001,0.0,0.015742198236325458,1.99591087681148e-09,0.00016666666666666666,1.0,1.7107351001842706e-78
72,0.7000000000000001,0.0,0.09317345639427296,3.112073749103942e-09,0.00016666666666666666,1.0,7.699114387047204e-102
73,0.7000000000000001,0.0,0.007004751488518428,1.5295594332265017e-12,0.0008333333333333334,0.9999999999999999,1.3378517586883698e-93
74,0.7000000000000001,0.0,0.04833670882033519,1.4239184804595856e-10,0.0004166666666666667,1.0,9.561093936950942e-106
75,0.7000000000000001,0.0,0.0266091844646929,1.055217461548656e-09,0.0005833333333333334,1.0,6.405828945539269e-106
76,0.7000000000000001,0.0,0.012366160671906599,2.157853845116879e-13,0.00016666666666666666,0.9999999999999991,2.3161107942125166e-104
77,0.7000000000000001,0.0,0.03902769491011095,5.0925105358426955e-09,0.0,1.0,2.969966751226316e-88
78,0.7000000000000001,0.0,0.15400504009308616,5.905677655017921e-17,8.333333333333333e-05,1.0,2.974122021531418e-110
79,0.7000000000000001,0.0,0.004103447192342658,5.0863350138835333e-08,0.00016666666666666666,1.0,2.167380345225758e-102
80,0.8,0.0,0.01596257938013113,3.0318274508597207e-12,0.00016666666666666666,0.999999999999995,7.793892896308422e-157
81,0.8,0.0,4.117408258298916e-05,1.3276567584071219e-14,0.0,0.9999999996266712,1.2190334939153797e-178
82,0.8,0.0,0.06049747463506847,5.063675648863094e-09,0.00016666666666666666,0.9999999999999301,1.540975267925001e-132
83,0.8,0.0,0.022241120446224446,4.985499257640031e-13,0.0,1.0,1.4515617063879443e-124
84,0.8,0.0,0.10549063779632392,8.391804234786169e-12,0.00016666666666666666,0.9999999999999999,6.867260867843528e-137
85,0.8,0.0,0.020379257767194216,6.182459478672003e-16,0.00025,0.9999999999999991,9.134408052515076e-156
86,0.8,0.0,0.052668532676170554,5.850049884505926e-16,8.333333333333333e-05,0.9999999999989392,1.9465219824427196e-156
87,0.8,0.0,0.000287270143246153,6.167683889095452e-22,8.333333333333333e-05,0.9999999999730018,6.2461220160583796e-180
88,0.8,0.0,0.000641476426887746,4.4519607912629104e-12,0.0,0.9999999996214253,6.380131202555731e-165
89,0.8,0.0,0.0011747544738664388,1.3185912441809238e-14,0.00016666666666666666,0.9999999999992849,7.617303894559886e-140
90,0.9,0.0,0.0009728142502324918,5.108548445499979e-13,0.0,0.9999999999830199,6.039030533931396e-170
91,0.9,0.0,0.0032927732205365445,4.005496915770113e-21,0.0,0.9999999999195184,2.2834239131146706e-212
92,0.9,0.0,0.027644461661421177,4.548411941431062e-16,8.333333333333333e-05,0.9999693898830339,6.1470985705235595e-235
93,0.9,0.0,0.0040289635584936515,3.219775856991446e-13,0.0,0.9999999947804687,2.1361980978868023e-204
94,0.9,0.0,0.0004134725488122261,1.4894504278416125e-13,0.00016666666666666666,0.9999999999995889,3.2601887161530876e-155
95,0.9,0.0,0.005451499612262095,7.04588664147881e-20,0.0,0.9999999963354326,1.028462146832158e-240
96,0.9,0.0,0.0031183246334912603,4.341093604549703e-14,0.0,0.9999999999999771,7.831831697961897e-231
97,0.9,0.0,0.018789640123868107,8.980515085375786e-15,0.0,0.9999999999999987,1.3229659350589673e-235
98,0.9,0.0,0.02310749523354533,9.673881577513026e-16,0.0,0.999999999910376,4.741850117810927e-221
99,0.9,0.0,0.001783538722864929,2.1057823040011307e-14,8.333333333333333e-05,0.9999999768113993,1.3603079801338095e-185
100,1.0,0.0,0.03211775352963622,8.417870447328143e-15,0.0,0.9999998763968047,1.1720049305007601e-213
101,1.0,0.0,0.0004547300985607218,2.3655306565647035e-14,0.00025,0.9999999999996507,6.155898550068455e-228
102,1.0,0.0,0.00948502574426963,3.4679164690388953e-18,8.333333333333333e-05,0.9999999994089535,7.664856185936202e-269
103,1.0,0.0,8.216512085350294e-05,5.050409319076739e-21,8.333333333333333e-05,0.999999999999958,9.832905389667505e-229
104,1.0,0.0,0.009573508669368841,8.990530039210314e-18,0.0,1.0,1.3115068595424862e-225
105,1.0,0.0,0.009463563905749255,1.1038382749445349e-20,0.00016666666666666666,0.9999997671243103,9.51891695922275e-227
106,1.0,0.0,0.0018262305523106964,3.8384008777449517e-20,0.00016666666666666666,0.9999988504286403,1.3796966518447613e-244
107,1.0,0.0,7.963207121733298e-06,4.116512741038384e-19,0.0,0.9999670977197641,3.558527409006735e-226
108,1.0,0.0,0.0015992080431393816,6.636075068353868e-16,8.333333333333333e-05,0.999999999999997,4.890712136721204e-216
109,1.0,0.0,0.007123949580274718,4.509434728675902e-15,0.0,0.999999994062913,6.171523895971426e-251
