,min_ppc,min_mtt,min_gft,agg_ppc,agg_mtt,agg_gft
0,0.03833333333333333,0.3915734036154487,0.03524689670943378,0.4776666666666667,1.0,0.999999999999996
1,0.0285,0.1622506118511182,0.019813326865051707,0.2715,1.0,0.9999999991285977
2,0.01225,0.40756069854738625,0.0017307999189739654,0.271,1.0,0.9999999448212789
3,0.03991666666666667,0.5754683776158751,0.053957205622323944,0.3408333333333333,1.0,0.9999999956350918
4,0.03133333333333333,0.15839166121359644,0.019297431539711,0.45116666666666666,1.0,0.9999999999989506
5,0.028333333333333332,0.6452129785876306,0.005262456129871293,0.26575,1.0,0.9999999993702299
6,0.07858333333333334,0.05306657049475597,9.795208079778333e-05,0.8366666666666667,1.0,1.0
7,0.027416666666666666,0.22449721445620052,0.02645360109994473,0.5549166666666666,1.0,0.9999999999999981
8,0.049,0.21975694541187352,0.111320617353256,0.6468333333333334,1.0,1.0
9,0.020833333333333332,0.02907622909249827,0.00018946790653749548,0.18783333333333332,1.0,0.999998423042728
