,question,ppc-pval,mtt-pval,mtt-stat,mtt-gdf,gft-pval,gft-stat,gft-dgf,std_c
7574,74.0,0.0006666666666666666,0.8612738575098315,0.29868551202110893,2,1.983897717099399e-05,35.71032289745773,8,0.7000000000000001
7575,75.0,8.333333333333333e-05,0.9833954436663066,0.03348791452120281,2,5.4534185825516565e-06,38.756724215723864,8,0.7000000000000001
7576,76.0,0.48833333333333334,0.613207113484265,0.25553109223141135,1,0.362803316109072,5.455922807778709,5,0.7000000000000001
7577,77.0,0.12358333333333334,0.74328451273231,0.5933527665831377,2,0.07751495640030016,14.167007139171583,8,0.7000000000000001
7578,78.0,0.14375,0.974585659811598,0.051485725206006805,2,0.06752684059785094,14.594488708389846,8,0.7000000000000001
7579,79.0,0.0,0.1085087249528097,4.441849389846141,2,1.4473304442939067e-12,72.66243890085747,8,0.7000000000000001
7580,80.0,0.0,0.6849813903243506,0.7567272169973194,2,9.411714597342601e-07,42.84084970858741,8,0.7000000000000001
7581,81.0,0.72125,0.7089139517249693,0.13936415143285785,1,0.6657008422135319,3.2226648494126637,5,0.7000000000000001
7582,82.0,0.005833333333333334,0.4781739019408058,1.4755616021248557,2,1.0469264457858871e-07,47.86826528698012,8,0.7000000000000001
7583,83.0,0.32425,0.6470856483239258,0.8705532312330604,2,0.2861449671112491,9.70768429913514,8,0.7000000000000001
7584,84.0,0.09775,0.9793155394089375,0.04180276101470781,2,0.05932324524448032,14.990869231737813,8,0.7000000000000001
7585,85.0,0.14358333333333334,0.9901115848491634,0.019875260472332457,2,0.0727792977552123,14.363071433302503,8,0.7000000000000001
7586,86.0,0.0,0.46302416475015795,1.53995206914567,2,4.407665933222013e-09,55.00367831980914,8,0.7000000000000001
7587,87.0,0.004583333333333333,0.6630352981853151,0.8218541002299276,2,0.0013628697234029155,25.336707547281932,8,0.7000000000000001
7588,88.0,0.49033333333333334,0.9441844883924064,0.1148673986240567,2,0.47182379873432423,7.61625186397764,8,0.7000000000000001
7589,89.0,8.333333333333333e-05,0.9180650015670602,0.1709741661222921,2,4.813097759252205e-13,75.05321429789605,8,0.7000000000000001
7590,90.0,0.0255,0.9093161796840659,0.19012482569723943,2,0.006185053130053736,21.388031250572944,8,0.7000000000000001
7591,91.0,0.15141666666666667,0.9778107453074457,0.000773601479664876,1,0.022533455309576546,13.091807490167577,5,0.7000000000000001
7592,92.0,0.0009166666666666666,0.6723096253518746,0.7940725851217678,2,8.042421559530982e-05,32.35558877669117,8,0.7000000000000001
7593,93.0,0.7404166666666666,0.9857349723547921,0.028735502450842887,2,0.8303048061904674,4.287422889722465,8,0.7000000000000001
7594,94.0,0.0,0.7148831767011425,0.67127227773355,2,7.1169710245279756e-09,53.93180336176782,8,0.7000000000000001
7595,95.0,0.029583333333333333,0.6223531239849943,0.24257408679407888,1,0.0002140830805101158,24.031758862668088,5,0.7000000000000001
