,n_items,n_questions,n_dims,l2_reg,beta,max_iter,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
0,100,500,2,0.01,1.0,6000,1359.0670835019953,400,3.3976677087549882,513.5781611865109,100,5.135781611865109,0
1,100,500,2,0.01,1.0,6000,1282.668720075655,400,3.2066718001891377,435.58031813105276,100,4.355803181310527,1
2,100,500,2,0.01,1.0,6000,1318.3954173580732,400,3.295988543395183,650.5225098333864,100,6.505225098333864,2
3,100,500,2,0.01,1.0,6000,1276.1828794949,400,3.1904571987372496,544.8250889890364,100,5.448250889890364,3
4,100,500,2,0.01,1.0,6000,1267.507722595175,400,3.1687693064879374,671.4810372737971,100,6.714810372737971,4
5,100,500,2,0.01,0.8,6000,1371.1713388352218,400,3.4279283470880544,2528.1786869059533,100,25.281786869059534,0
6,100,500,2,0.01,0.8,6000,1204.9165668182739,400,3.0122914170456845,660.1803384080488,100,6.601803384080488,1
7,100,500,2,0.01,0.8,6000,1282.6909631284846,400,3.2067274078212114,581.4272857168481,100,5.814272857168481,2
8,100,500,2,0.01,0.8,6000,1279.1983847108872,400,3.197995961777218,677.7880049949933,100,6.777880049949934,3
9,100,500,2,0.01,0.8,6000,1240.5910026375764,400,3.101477506593941,853.255768220326,100,8.53255768220326,4
10,100,500,2,0.01,0.5,6000,1455.0661888303878,400,3.6376654720759696,676.5287213632591,100,6.7652872136325914,0
11,100,500,2,0.01,0.5,6000,1224.332107458353,400,3.0608302686458826,1314.7211325730273,100,13.147211325730273,1
12,100,500,2,0.01,0.5,6000,1276.7111144254736,400,3.191777786063684,788.3140570073354,100,7.883140570073354,2
13,100,500,2,0.01,0.5,6000,1181.5525304872526,400,2.9538813262181316,735.7739785401251,100,7.357739785401251,3
14,100,500,2,0.01,0.5,6000,1512.6505149261277,400,3.7816262873153192,1830.2266178631435,100,18.302266178631434,4
15,100,500,2,0.01,0.1,6000,1459.2997745176192,400,3.648249436294048,2313.456671326365,100,23.13456671326365,0
16,100,500,2,0.01,0.1,6000,1603.7793817614663,400,4.009448454403666,1172.231222935284,100,11.72231222935284,1
17,100,500,2,0.01,0.1,6000,1608.1877012675059,400,4.0204692531687645,857.6183781234122,100,8.576183781234121,2
18,100,500,2,0.01,0.1,6000,1502.0646992525478,400,3.7551617481313695,944.5678385866632,100,9.445678385866632,3
