,n_items,n_questions,n_dims_model,l2_reg,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
0,20,8000,3,0.01,30096.567871100342,6400,4.702588729859428,7824.624870212974,1600,4.890390543883109,5,0
1,20,7997,3,0.01,70521.30661302026,6397,11.024121715338481,17418.738027804815,1600,10.88671126737801,5,1
2,20,8000,3,0.01,22911.62665531955,6400,3.5799416648936795,5723.855254425274,1600,3.5774095340157963,5,2
3,20,8000,3,0.01,38373.303097306656,6400,5.995828608954165,9637.423147789123,1600,6.023389467368202,5,3
4,20,8000,3,0.01,44446.58069375043,6400,6.944778233398505,10884.186130679238,1600,6.802616331674524,5,4
5,20,8000,3,0.1,32209.083290586852,6400,5.032669264154196,8217.346438060227,1600,5.135841523787642,5,0
6,20,8000,3,0.1,29783.041201102948,6400,4.653600187672335,7885.846783291259,1600,4.928654239557037,5,1
7,20,8000,3,0.1,33950.27368902233,6400,5.30473026390974,8316.322341566874,1600,5.197701463479296,5,2
8,20,8000,3,0.1,31571.23222642337,6400,4.933005035378652,7542.413539710079,1600,4.714008462318799,5,3
9,20,8000,3,0.1,38577.165761744116,6400,6.027682150272518,9357.195345296097,1600,5.8482470908100606,5,4
10,20,8000,5,0.01,24377.29102813951,6400,3.8089517231467984,6271.000889383491,1600,3.919375555864682,5,0
11,20,8000,5,0.01,20399.961580418087,6400,3.187493996940326,4943.769339727241,1600,3.0898558373295253,5,1
12,20,7999,5,0.01,28471.286877089347,6399,4.449333782948797,7047.534707173657,1600,4.404709191983535,5,2
13,20,8000,5,0.01,24936.915584870465,6400,3.89639306013601,6437.639622602277,1600,4.023524764126424,5,3
14,20,8000,5,0.01,18457.419409583355,6400,2.883971782747399,4530.537201230448,1600,2.83158575076903,5,4
15,20,8000,5,0.1,25994.137066714662,6400,4.061583916674166,6862.345156065617,1600,4.28896572254101,5,0
16,20,7999,5,0.1,30325.50078702428,6399,4.7390999823447855,7599.146286260159,1600,4.7494664289126,5,1
17,20,8000,5,0.1,20221.90521578872,6400,3.1596726899669876,5137.410959910199,1600,3.2108818499438745,5,2
18,20,8000,5,0.1,18288.473340220873,6400,2.8575739594095113,4928.453978110336,1600,3.0802837363189597,5,3
19,20,7998,5,0.1,22213.88382833706,6398,3.472004349536896,5679.278157200283,1600,3.549548848250177,5,4
20,20,8000,7,0.01,24894.88863853891,6400,3.8898263497717043,6792.677869247714,1600,4.245423668279821,5,0
21,20,7999,7,0.01,31346.703909487012,6399,4.898687905842634,7718.8280418354425,1600,4.8242675261471515,5,1
22,20,8000,7,0.01,21963.400516896498,6400,3.431781330765078,5409.803558903158,1600,3.381127224314474,5,2
23,20,8000,7,0.01,21386.937803223456,6400,3.341709031753665,5612.140995562233,1600,3.507588122226396,5,3
24,20,8000,7,0.01,20345.0426637224,6400,3.178912916206625,5374.150492233699,1600,3.3588440576460616,5,4
25,20,8000,7,0.1,25077.64464375907,6400,3.918381975587355,6050.385571608746,1600,3.7814909822554665,5,0
26,20,8000,7,0.1,18464.00422148175,6400,2.885000659606524,4732.228954496776,1600,2.957643096560485,5,1
27,20,7997,7,0.1,28317.14419385949,6397,4.426628762522978,7043.815593106187,1600,4.402384745691367,5,2
28,20,8000,7,0.1,19456.999323579632,6400,3.0401561443093175,4825.175465496656,1600,3.01573466593541,5,3
29,20,8000,7,0.1,20709.44093833107,6400,3.2358501466142298,5132.980439116025,1600,3.2081127744475157,5,4
