,n_items,n_questions,n_dims,l2_reg,beta,max_iter,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
31,100,6256,4,0.05,0.5,350,36722.321440550986,5004,7.338593413379494,9483.545416596397,1252,7.574716786418847,1
32,100,6256,4,0.05,0.5,350,36548.76683639358,5004,7.303910239087446,9603.157717152357,1252,7.670253767693576,2
33,100,6256,4,0.05,0.5,350,36919.15427621415,5004,7.3779285124328835,9284.219402853667,1252,7.415510705154686,3
34,100,6256,4,0.05,0.5,350,36672.44739600605,5004,7.328626577938858,9503.592121170721,1252,7.590728531286518,4
35,100,6256,4,0.05,0.1,350,37038.24237707218,5004,7.401727093739445,9133.02816144696,1252,7.294750927673291,0
36,100,6256,4,0.05,0.1,350,36941.23376735357,5004,7.382340880766102,9216.372990647666,1252,7.361320280070021,1
37,100,6256,4,0.05,0.1,350,37168.06171492576,5004,7.4276702068196965,8991.921709554936,1252,7.182046093893718,2
38,100,6256,4,0.05,0.1,350,36955.35048400555,5004,7.385161967227328,9199.018802522642,1252,7.347459107446199,3
39,100,6256,4,0.05,0.1,350,36943.47424753083,5004,7.382788618611277,9220.254798255488,1252,7.364420765379783,4
40,100,6256,4,0.1,1.0,350,36973.53242462975,5004,7.388795448567097,9217.408769613772,1252,7.3621475795637155,0
41,100,6256,4,0.1,1.0,350,37525.036001542256,5004,7.49900799391332,9477.545908518512,1252,7.569924847059514,1
42,100,6256,4,0.1,1.0,350,36699.176784398296,5004,7.333968182333792,9526.336571584816,1252,7.608895025227489,2
43,100,6256,4,0.1,1.0,350,36780.43664080101,5004,7.350207162430258,9355.049649653727,1252,7.47208438470745,3
44,100,6256,4,0.1,1.0,350,36903.70609725091,5004,7.374841346373084,9253.01877331252,1252,7.390590074530767,4
45,100,6256,4,0.1,0.8,350,36857.406106983835,5004,7.36558875039645,9627.26092567059,1252,7.689505531685774,0
46,100,6256,4,0.1,0.8,350,36949.29741250324,5004,7.383952320644133,9207.362918041064,1252,7.354123736454524,1
47,100,6256,4,0.1,0.8,350,36867.550469454654,5004,7.367616001090059,9296.458736626895,1252,7.425286530852152,2
48,100,6256,4,0.1,0.8,350,36936.075793582044,5004,7.381310110627907,9249.229494308769,1252,7.387563493856844,3
49,100,6256,4,0.1,0.8,350,37135.53940949464,5004,7.421170945142814,9107.372237472186,1252,7.274258975616761,4
50,100,6256,4,0.1,0.5,350,36932.641301137664,5004,7.380623761218558,9264.372028400585,1252,7.39965816964903,0
51,100,6256,4,0.1,0.5,350,36887.03477224384,5004,7.371509746651446,9364.911949304184,1252,7.479961620849987,1
52,100,6256,4,0.1,0.5,350,37039.42012798917,5004,7.401962455633328,9180.055886126773,1252,7.332313008088477,2
53,100,6256,4,0.1,0.5,350,36663.91864558472,5004,7.326922191363853,9520.032533409587,1252,7.603859850966124,3
54,100,6256,4,0.1,0.5,350,37103.133987220936,5004,7.414695041411059,9068.93051295828,1252,7.243554722810129,4
55,100,6256,4,0.1,0.1,350,36976.79160849618,5004,7.389446764287807,9193.632518411145,1252,7.343156963587176,0
56,100,6256,4,0.1,0.1,350,36922.90425409045,5004,7.378677908491297,9241.856826938925,1252,7.3816747819001,1
57,100,6256,4,0.1,0.1,350,37161.94667824881,5004,7.4264481771080755,9015.533842096384,1252,7.200905624677622,2
58,100,6256,4,0.1,0.1,350,37066.405649716726,5004,7.407355245746747,9095.168741737576,1252,7.26451177455078,3
59,100,6256,4,0.1,0.1,350,36867.984451229466,5004,7.367702728063443,9290.47745338336,1252,7.420509148069777,4
60,100,6256,4,0.2,1.0,350,37020.61555098984,5004,7.398204546560719,9361.538038590197,1252,7.47726680398578,0
61,100,6256,4,0.2,1.0,350,36708.791738835855,5004,7.335889636058324,9446.642686168552,1252,7.545241762115457,1
62,100,6256,4,0.2,1.0,350,36969.98749763092,5004,7.3880870299022625,9211.512998601467,1252,7.357438497285517,2
63,100,6256,4,0.2,1.0,350,36699.89973657623,5004,7.334112657189495,9452.030220388775,1252,7.549544904463878,3
64,100,6256,4,0.2,1.0,350,36748.75980681897,5004,7.343876859875893,9456.043137002787,1252,7.552750109427146,4
65,100,6256,4,0.2,0.8,350,36735.22792981442,5004,7.341172647844608,9433.320058281177,1252,7.534600685528097,0
66,100,6256,4,0.2,0.8,350,36961.10430862408,5004,7.386311812274997,9306.976111151711,1252,7.433686989737788,1
67,100,6256,4,0.2,0.8,350,36975.09903588611,5004,7.389108520360933,9260.600072664834,1252,7.396645425451146,2
68,100,6256,4,0.2,0.8,350,36736.057198969334,5004,7.341338369098588,9451.870144053444,1252,7.54941704796601,3
