,n_items,n_questions,n_dims,l2_reg,beta,max_iter,train_loss,train_acc,train_err,train_n,train_err_norm,test_err,test_acc,test_loss,test_n,test_err_norm,run
0,100,6256,20,0.01,1.0,500,0.8994709022068041,0.6740607513988809,15281.879139705026,5004,3.053932681795569,9993.048420760388,0.5407348242811502,1.2084177131581746,1252,7.9816680676999905,0
1,100,6256,20,0.01,1.0,500,0.896589005356072,0.6856514788169464,15216.647777616625,5004,3.0408968380528827,10648.242729456651,0.547923322683706,1.2259617633353486,1252,8.504986205636303,1
2,100,6256,20,0.01,1.0,500,0.8953550651778649,0.6794564348521183,15817.76076065705,5004,3.1610233334646383,9002.617451164466,0.5319488817891374,1.2371803188495114,1252,7.19058901850197,2
3,100,6256,20,0.01,1.0,500,0.8924746633908285,0.6774580335731415,15477.153711198125,5004,3.0929563771379147,10626.440026552791,0.5503194888178914,1.2402977895151492,1252,8.487571906192326,3
4,100,6256,20,0.01,1.0,500,0.9065021830224183,0.676458832933653,15781.977354837529,5004,3.1538723730690505,8014.358392719916,0.5415335463258786,1.1909791381858936,1252,6.401244722619741,4
5,100,6256,20,0.01,0.8,500,0.8828116271659598,0.6818545163868904,17319.690419526607,5004,3.4611691485864524,12281.538802001562,0.5383386581469648,1.229175311297486,1252,9.809535784346295,0
6,100,6256,20,0.01,0.8,500,0.8734027079489537,0.6838529176658673,16323.566603378713,5004,3.2621036377655304,20131.35871121519,0.5439297124600638,1.2527192234747937,1252,16.07935999298338,1
7,100,6256,20,0.01,0.8,500,0.8791942647498873,0.6836530775379696,17666.060645199992,5004,3.53038781878497,13818.401357903142,0.5471246006389776,1.1826291787507486,1252,11.037061787462573,2
8,100,6256,20,0.01,0.8,500,0.8723606222563549,0.6832533972821743,21513.914273662594,5004,4.299343380028496,14130.343623427758,0.5359424920127795,1.2399466089445634,1252,11.286216951619615,3
9,100,6256,20,0.01,0.8,500,0.8773108907484092,0.6784572342126299,15925.384642816356,5004,3.182530903840199,26214.063545486893,0.5623003194888179,1.2088007998433847,1252,20.937750435692408,4
10,100,6256,20,0.01,0.5,500,0.8453945585604415,0.7018385291766587,24637.876828862092,5004,4.923636456607133,20391.729837000654,0.5335463258785942,1.2910132056912231,1252,16.287324150958987,0
11,100,6256,20,0.01,0.5,500,0.8377923510324434,0.6988409272581935,30323.687066275685,5004,6.059889501653814,26717.216336552334,0.5223642172523961,1.3690525964742923,1252,21.339629661783015,1
12,100,6256,20,0.01,0.5,500,0.8380658365064845,0.697242206235012,21780.81494562593,5004,4.352680844449626,22710.067115466172,0.5351437699680511,1.3357456519921707,1252,18.139031242385123,2
13,100,6256,20,0.01,0.5,500,0.8369561680229582,0.7030375699440448,22178.25378238301,5004,4.4321050724186675,63889.90845288088,0.5415335463258786,1.3442831878169599,1252,51.03027831699751,3
14,100,6256,20,0.01,0.5,500,0.854528065967608,0.6886490807354116,18364.04348033898,5004,3.6698727978295325,18538.850605313408,0.5335463258785942,1.27371587969057,1252,14.8073886623909,4
