,n_items,n_questions,n_dims_model,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
0,10,100,2,1907.998643111111,80,23.849983038888887,647.013149477426,20,32.3506574738713,10,0
1,10,100,2,1361.1565484317925,80,17.014456855397405,501.6022521910594,20,25.08011260955297,10,1
2,10,100,2,1150.6067551044455,80,14.38258443880557,676.029262987906,20,33.8014631493953,10,2
3,10,100,2,1146.9766371637563,80,14.337207964546954,441.46957855992804,20,22.0734789279964,10,3
4,10,100,2,1208.2237819690206,80,15.102797274612758,321.4231249122948,20,16.071156245614738,10,4
5,10,100,2,877.7457397647717,80,10.971821747059646,273.08480036234323,20,13.65424001811716,10,5
6,10,100,2,856.5704082382083,80,10.707130102977604,280.5319123168739,20,14.026595615843695,10,6
7,10,100,2,1148.6400873260595,80,14.358001091575744,456.9358994513766,20,22.84679497256883,10,7
8,10,100,2,1055.8742045887577,80,13.198427557359471,322.779959023745,20,16.13899795118725,10,8
9,10,100,2,1490.1516815428217,80,18.626896019285272,486.5799554287412,20,24.32899777143706,10,9
10,10,100,3,627.6019960263784,80,7.84502495032973,137.9852082877764,20,6.89926041438882,10,0
11,10,100,3,293.11150374864593,80,3.663893796858074,99.67608124423353,20,4.983804062211677,10,1
12,10,100,3,585.8471528464845,80,7.323089410581057,138.12576799965814,20,6.906288399982907,10,2
13,10,100,3,610.3611191100777,80,7.629513988875971,166.31805224934823,20,8.315902612467411,10,3
14,10,100,3,603.1391851666285,80,7.5392398145828565,177.7027896142979,20,8.885139480714894,10,4
15,10,100,3,723.7892425611611,80,9.047365532014513,223.53360630966569,20,11.176680315483285,10,5
16,10,100,3,484.88732100863575,80,6.0610915126079465,166.64522164518863,20,8.332261082259432,10,6
17,10,100,3,595.1728948542934,80,7.439661185678668,145.29144913541822,20,7.264572456770911,10,7
18,10,100,3,494.39060752131763,80,6.179882594016471,181.59862404007265,20,9.079931202003632,10,8
19,10,100,3,352.3503779131641,80,4.404379723914551,128.88943056660494,20,6.444471528330247,10,9
20,10,100,5,210.37964921115372,80,2.6297456151394214,83.37066622537625,20,4.1685333112688125,10,0
21,10,100,5,241.61142198371536,80,3.020142774796442,117.93735860901772,20,5.896867930450886,10,1
22,10,100,5,176.36533417424502,80,2.2045666771780628,76.63069995993358,20,3.831534997996679,10,2
23,10,100,5,199.39762368665262,80,2.492470296083158,83.57284032950177,20,4.178642016475089,10,3
24,10,100,5,236.16557757602237,80,2.9520697197002796,73.55599430822022,20,3.677799715411011,10,4
25,10,100,5,180.1036700886231,80,2.251295876107789,83.61069442567639,20,4.180534721283819,10,5
26,10,100,5,174.2958108909941,80,2.178697636137426,112.23546658298612,20,5.611773329149306,10,6
27,10,100,5,212.52354703297388,80,2.6565443379121736,114.6373005793126,20,5.73186502896563,10,7
28,10,100,5,215.34931616582358,80,2.691866452072795,58.15515517994116,20,2.9077577589970582,10,8
29,10,100,5,184.91697807715457,80,2.311462225964432,68.9353007804147,20,3.446765039020735,10,9
30,10,100,8,136.19980681394097,80,1.702497585174262,155.84882892186073,20,7.7924414460930365,10,0
31,10,100,8,165.34231246696885,80,2.0667789058371104,55.515650422189836,20,2.775782521109492,10,1
32,10,100,8,167.6121607237238,80,2.0951520090465476,105.84235413066173,20,5.292117706533086,10,2
33,10,100,8,173.97239412828822,80,2.1746549266036026,59.284274346089596,20,2.96421371730448,10,3
34,10,100,8,192.32381359306498,80,2.404047669913312,108.30435399187608,20,5.415217699593804,10,4
35,10,100,8,156.79617241027694,80,1.9599521551284618,98.94462163771531,20,4.947231081885766,10,5
36,10,100,8,143.1739077404412,80,1.7896738467555149,44.263283605995994,20,2.2131641802998,10,6
37,10,100,8,144.8895807788005,80,1.8111197597350064,3407.9784175215973,20,170.39892087607987,10,7
38,10,100,8,155.04740361220388,80,1.9380925451525486,60.80656973654173,20,3.040328486827087,10,8
39,10,100,8,nan,80,nan,77.61384285025338,20,3.880692142512669,10,9
40,10,100,13,148.74778095969413,80,1.8593472619961766,98.25521340912405,20,4.912760670456203,10,0
41,10,100,13,170.31588427574098,80,2.1289485534467625,82.80260774764614,20,4.140130387382307,10,1
